Domain_id,streetNumber,streetName,streetType,geoLocation,propertyType,bedrooms,bathrooms,carspaces,propertyDetailsUrl,price,unitNumber,second_ID,canonicalUrl,areaSize,photos
627.0,11,Park,St,"{'latitude': -37.8091018, 'longitude': 144.9937248}",House,4.0,1.0,1.0,https://www.domain.com.au/11-park-street-abbotsford-vic-3067-2017652430,1746000.0,,HN-2713-UF,https://www.domain.com.au/property-profile/11-park-street-abbotsford-vic-3067,281.0,https://bucket-api.domain.com.au/v1/bucket/image/2017652430_1_1_220322_024125-w1600-h1072
1047.0,49,Bennett,St,"{'latitude': -37.771406, 'longitude': 145.0316606}",House,4.0,3.0,3.0,https://www.domain.com.au/49-bennett-street-alphington-vic-3078-2017669320,3080000.0,,EC-3223-SR,https://www.domain.com.au/property-profile/49-bennett-street-alphington-vic-3078,595.0,https://bucket-api.domain.com.au/v1/bucket/image/2017669320_1_1_220316_113516-w1600-h1067
14197.0,9-Jul,Railway,Pl,"{'latitude': -37.7796149, 'longitude': 145.016326}",Unit,2.0,2.0,1.0,https://www.domain.com.au/405-7-9-railway-place-fairfield-vic-3078-2017648550,680000.0,405,OL-9368-PD,https://www.domain.com.au/property-profile/7-9-railway-parade-loganlea-qld-4131,1437.0,https://bucket-api.domain.com.au/v1/bucket/image/12864796_1_1_190117_114056-w1200-h900
8247.0,846,Lygon,St,"{'latitude': -37.7861537, 'longitude': 144.96967}",Unit,2.0,1.0,1.0,https://www.domain.com.au/3-846-lygon-street-carlton-north-vic-3054-2017671230,880000.0,3,QD-0233-BU,https://www.domain.com.au/property-profile/846-lygon-street-carlton-north-vic-3054,902.0,0
8247.0,1009,Rathdowne,St,"{'latitude': -37.7803123, 'longitude': 144.9731282}",Townhouse,2.0,1.0,1.0,https://www.domain.com.au/1-1009-rathdowne-street-carlton-north-vic-3054-2017650522,1270000.0,1,GQ-4852-VO,https://www.domain.com.au/property-profile/1009-rathdowne-street-carlton-north-vic-3054,5676.0,0
9437.0,9,Fenwick,St,"{'latitude': -37.7901243, 'longitude': 144.999589}",House,3.0,2.0,1.0,https://www.domain.com.au/9-fenwick-street-clifton-hill-vic-3068-2017653316,2440000.0,,WW-0910-RA,https://www.domain.com.au/property-profile/9-fenwick-street-clifton-hill-vic-3068,227.0,https://bucket-api.domain.com.au/v1/bucket/image/2017653316_1_1_220310_015808-w1600-h1067
9437.0,94,Noone,St,"{'latitude': -37.7934267, 'longitude': 144.9931761}",House,3.0,1.0,2.0,https://www.domain.com.au/94-noone-street-clifton-hill-vic-3068-2017653084,1950000.0,,PZ-0505-XZ,https://www.domain.com.au/property-profile/94-noone-street-clifton-hill-vic-3068,433.0,https://bucket-api.domain.com.au/v1/bucket/image/2017653084_1_1_220310_012217-w1600-h1067
14567.0,263,Glenlyon,Rd,"{'latitude': -37.7734988, 'longitude': 144.981231}",House,4.0,3.0,2.0,https://www.domain.com.au/263-glenlyon-road-fitzroy-north-vic-3068-2017636401,1800000.0,,WZ-3744-PH,https://www.domain.com.au/property-profile/263-glenlyon-road-fitzroy-north-vic-3068,572.0,https://bucket-api.domain.com.au/v1/bucket/image/2017636401_1_1_220303_053840-w4000-h2680
14567.0,16,Grant,St,"{'latitude': -37.7893477, 'longitude': 144.9850531}",House,2.0,1.0,0.0,https://www.domain.com.au/16-grant-street-fitzroy-north-vic-3068-2017651544,1760000.0,,RI-2536-PD,https://www.domain.com.au/property-profile/16-grant-street-fitzroy-north-vic-3068,145.0,https://bucket-api.domain.com.au/v1/bucket/image/2017651544_1_1_220309_065717-w1600-h1067
14567.0,69,Newry,St,"{'latitude': -37.7905738, 'longitude': 144.9807029}",House,3.0,1.0,0.0,https://www.domain.com.au/69-newry-street-fitzroy-north-vic-3068-2017650102,1725000.0,,MG-3922-CQ,https://www.domain.com.au/property-profile/69-newry-street-fitzroy-north-vic-3068,189.0,https://bucket-api.domain.com.au/v1/bucket/image/2017650102_1_1_220309_033729-w1600-h1067
