Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
627.0,1297000.0,23.0,2150000.0,630000.0,1273000.0,38.0,2200000.0,360000.0,23.0,13.0,51.0,625.0,63.0,1300.0,325.0
1047.0,1909000.0,28.0,3720000.0,893000.0,1425000.0,42.0,2970000.0,249000.0,22.0,21.0,,645.0,51.0,1500.0,230.0
14197.0,1839000.0,20.0,2905000.0,940000.0,1480000.0,29.0,2650000.0,299000.0,18.0,14.0,,570.0,57.0,980.0,58.0
8247.0,1670000.0,35.0,4700000.0,880000.0,1498000.0,42.0,3650000.0,850000.0,36.0,22.0,24.0,673.0,110.0,1750.0,295.0
33537.0,,5.0,6800000.0,1390000.0,,8.0,7000000.0,595000.0,4.0,4.0,,778.0,16.0,1590.0,480.0
9437.0,1758000.0,22.0,3700000.0,1060000.0,1725000.0,27.0,3980000.0,129000.0,23.0,15.0,,685.0,56.0,1350.0,320.0
14567.0,1490000.0,42.0,4400000.0,755000.0,1425000.0,56.0,3000000.0,395000.0,39.0,27.0,60.0,700.0,125.0,1400.0,300.0
9987.0,1350000.0,17.0,2500000.0,940000.0,1200000.0,28.0,2300000.0,695000.0,16.0,13.0,,600.0,64.0,1300.0,250.0
10737.0,,7.0,2450000.0,1275000.0,1720000.0,13.0,2595000.0,480000.0,10.0,4.0,,625.0,27.0,1000.0,300.0
34297.0,1375000.0,119.0,5050000.0,330000.0,1395000.0,161.0,4489000.0,330000.0,94.0,65.0,47.0,650.0,276.0,2600.0,265.0
7117.0,,2.0,1523000.0,1489000.0,,4.0,1800000.0,1150000.0,3.0,2.0,,,8.0,1600.0,395.0
14527.0,1400000.0,35.0,4810000.0,950000.0,1263000.0,51.0,4600000.0,499000.0,35.0,23.0,13.0,653.0,80.0,2500.0,300.0
757.0,988000.0,28.0,1420000.0,600000.0,880000.0,59.0,1300000.0,470000.0,32.0,17.0,39.0,490.0,86.0,660.0,320.0
30687.0,1300000.0,28.0,2320000.0,650000.0,1150000.0,51.0,2100000.0,600000.0,32.0,17.0,42.0,490.0,60.0,950.0,280.0
20957.0,867000.0,10.0,1275000.0,743000.0,,15.0,1300000.0,680000.0,10.0,8.0,,440.0,16.0,650.0,350.0
1757.0,1225000.0,51.0,7500000.0,800000.0,1200000.0,77.0,7000000.0,345000.0,46.0,26.0,33.0,565.0,127.0,900.0,260.0
25307.0,1280000.0,36.0,2070000.0,605000.0,900000.0,68.0,1800000.0,320000.0,33.0,22.0,46.0,470.0,119.0,1000.0,180.0
40727.0,,3.0,2375000.0,1336000.0,,4.0,2450000.0,1000000.0,3.0,2.0,,550.0,11.0,920.0,335.0
1957.0,1000000.0,62.0,1860000.0,610000.0,860000.0,83.0,1750000.0,580000.0,58.0,45.0,27.0,433.0,64.0,750.0,300.0
13957.0,1675000.0,78.0,6325000.0,185000.0,1525000.0,127.0,6800000.0,360000.0,76.0,49.0,53.0,490.0,164.0,1205.0,240.0
13997.0,,6.0,2449000.0,840000.0,946000.0,16.0,2500000.0,400000.0,9.0,5.0,,513.0,18.0,750.0,390.0
647.0,1933000.0,18.0,4730000.0,735000.0,1750000.0,28.0,8200000.0,690000.0,14.0,9.0,,650.0,23.0,1300.0,320.0
13977.0,830000.0,11.0,2020000.0,370000.0,1000000.0,17.0,1800000.0,300000.0,9.0,5.0,,490.0,27.0,750.0,340.0
38037.0,1785000.0,37.0,2900000.0,850000.0,1365000.0,65.0,3460000.0,790000.0,30.0,18.0,54.0,595.0,47.0,1200.0,360.0
38047.0,,5.0,1090000.0,713000.0,,9.0,1150000.0,620000.0,5.0,3.0,,,4.0,530.0,380.0
20897.0,1095000.0,80.0,2400000.0,602000.0,870000.0,100.0,2350000.0,550000.0,67.0,56.0,48.0,450.0,94.0,850.0,300.0
27497.0,1597000.0,44.0,6525000.0,875000.0,1350000.0,85.0,8500000.0,230000.0,40.0,28.0,46.0,533.0,146.0,1200.0,270.0
31037.0,1178000.0,45.0,3820000.0,530000.0,1300000.0,73.0,3825000.0,99000.0,31.0,19.0,40.0,625.0,133.0,2000.0,320.0
787.0,618000.0,24.0,965000.0,545000.0,580000.0,41.0,1192000.0,365000.0,5.0,4.0,66.0,350.0,16.0,490.0,300.0
20817.0,660000.0,11.0,745000.0,452000.0,600000.0,18.0,890000.0,410000.0,6.0,3.0,,385.0,20.0,480.0,290.0
21657.0,640000.0,23.0,790000.0,425000.0,600000.0,35.0,750000.0,420000.0,6.0,4.0,32.0,355.0,41.0,510.0,290.0
837.0,708000.0,24.0,1255000.0,195000.0,620000.0,42.0,3070000.0,199000.0,15.0,8.0,61.0,375.0,35.0,510.0,240.0
38277.0,876000.0,44.0,1755000.0,405000.0,780000.0,87.0,1300000.0,93000.0,40.0,24.0,38.0,383.0,100.0,550.0,270.0
38287.0,700000.0,43.0,1639000.0,460000.0,699000.0,109.0,1380000.0,355000.0,27.0,17.0,49.0,370.0,68.0,590.0,200.0
38297.0,760000.0,69.0,1720000.0,430000.0,690000.0,105.0,1220000.0,450000.0,50.0,28.0,64.0,380.0,122.0,610.0,250.0
1507.0,719000.0,14.0,917000.0,645000.0,655000.0,24.0,1200000.0,480000.0,11.0,7.0,,370.0,33.0,450.0,285.0
48297.0,701000.0,16.0,975000.0,610000.0,670000.0,29.0,6200000.0,500000.0,11.0,5.0,17.0,420.0,31.0,550.0,360.0
8327.0,736000.0,99.0,1715000.0,430000.0,690000.0,156.0,2300000.0,420000.0,37.0,18.0,43.0,430.0,161.0,655.0,340.0
7137.0,750000.0,21.0,1190000.0,550000.0,760000.0,41.0,1250000.0,285000.0,4.0,2.0,43.0,445.0,16.0,580.0,320.0
7527.0,933000.0,19.0,1405000.0,690000.0,800000.0,34.0,1350000.0,475000.0,7.0,5.0,41.0,430.0,22.0,600.0,370.0
11507.0,635000.0,78.0,980000.0,490000.0,600000.0,119.0,1900000.0,365000.0,21.0,10.0,39.0,380.0,81.0,550.0,290.0
11547.0,679000.0,28.0,953000.0,517000.0,600000.0,35.0,790000.0,500000.0,19.0,17.0,25.0,370.0,24.0,480.0,300.0
18837.0,755000.0,55.0,1450000.0,440000.0,680000.0,76.0,1350000.0,350000.0,37.0,28.0,25.0,390.0,52.0,550.0,290.0
39447.0,890000.0,36.0,1250000.0,500000.0,785000.0,49.0,1100000.0,490000.0,27.0,16.0,31.0,450.0,40.0,630.0,355.0
38547.0,663000.0,30.0,1000000.0,420000.0,550000.0,76.0,3500000.0,330000.0,19.0,13.0,26.0,390.0,67.0,600.0,320.0
20857.0,1185000.0,25.0,2010000.0,830000.0,1290000.0,36.0,6500000.0,750000.0,20.0,18.0,,460.0,17.0,950.0,390.0
20927.0,,1.0,4900000.0,4900000.0,,1.0,620000.0,620000.0,,,,,1.0,1600.0,1600.0
39487.0,920000.0,35.0,1371000.0,475000.0,800000.0,52.0,1400000.0,470000.0,33.0,20.0,26.0,420.0,43.0,560.0,325.0
20887.0,830000.0,33.0,1150000.0,605000.0,735000.0,51.0,1250000.0,500000.0,21.0,11.0,66.0,410.0,41.0,999.0,310.0
20917.0,,2.0,1013000.0,950000.0,,2.0,860000.0,850000.0,2.0,2.0,,,6.0,600.0,420.0
797.0,2300000.0,49.0,11400000.0,1111000.0,2750000.0,51.0,7250000.0,1100000.0,38.0,29.0,37.0,795.0,75.0,2000.0,460.0
26507.0,2285000.0,13.0,9800000.0,1111000.0,2890000.0,24.0,7800000.0,1550000.0,13.0,7.0,,840.0,23.0,3600.0,500.0
2197.0,1513000.0,15.0,3000000.0,860000.0,1400000.0,22.0,3000000.0,450000.0,15.0,10.0,,600.0,28.0,1280.0,250.0
13717.0,2344000.0,34.0,7250000.0,855000.0,1925000.0,68.0,4800000.0,280000.0,22.0,16.0,38.0,728.0,68.0,2500.0,250.0
36797.0,1775000.0,32.0,7330000.0,910000.0,1590000.0,72.0,6500000.0,290000.0,24.0,10.0,53.0,620.0,107.0,2995.0,290.0
1057.0,1200000.0,53.0,2810000.0,477000.0,985000.0,106.0,2500000.0,150000.0,36.0,14.0,64.0,460.0,85.0,960.0,280.0
35887.0,1271000.0,10.0,2385000.0,970000.0,1100000.0,18.0,2300000.0,775000.0,8.0,2.0,,560.0,16.0,790.0,360.0
1137.0,984000.0,58.0,1555000.0,635000.0,850000.0,120.0,3000000.0,90000.0,43.0,21.0,46.0,470.0,103.0,850.0,255.0
30557.0,1273000.0,62.0,2900000.0,656000.0,1175000.0,106.0,2750000.0,740000.0,53.0,36.0,38.0,540.0,133.0,1500.0,230.0
36757.0,,7.0,1260000.0,760000.0,910000.0,20.0,1275000.0,460000.0,7.0,5.0,,490.0,26.0,1375.0,290.0
36987.0,1435000.0,12.0,2453000.0,940000.0,1200000.0,23.0,1950000.0,110000.0,12.0,6.0,,550.0,31.0,980.0,320.0
43967.0,1628000.0,54.0,4400000.0,885000.0,1500000.0,107.0,5000000.0,630000.0,45.0,28.0,42.0,670.0,91.0,1675.0,315.0
43977.0,,2.0,1300000.0,895000.0,955000.0,13.0,1750000.0,795000.0,,,,640.0,20.0,720.0,395.0
1127.0,735000.0,74.0,1290000.0,400000.0,720000.0,112.0,1150000.0,350000.0,18.0,11.0,24.0,368.0,110.0,575.0,295.0
23307.0,640000.0,37.0,795000.0,395000.0,570000.0,99.0,1400000.0,385000.0,5.0,4.0,68.0,350.0,154.0,495.0,260.0
35847.0,755000.0,14.0,857000.0,575000.0,723000.0,22.0,900000.0,490000.0,,,21.0,380.0,33.0,530.0,320.0
19067.0,609000.0,160.0,1495000.0,390000.0,580000.0,254.0,2500000.0,373000.0,66.0,43.0,39.0,350.0,310.0,750.0,150.0
39087.0,625000.0,349.0,1386000.0,375000.0,590000.0,1575.0,1300000.0,,40.0,24.0,59.0,385.0,632.0,590.0,230.0
40897.0,635000.0,205.0,1165000.0,370000.0,600000.0,831.0,1200000.0,70000.0,41.0,19.0,63.0,400.0,414.0,650.0,275.0
32927.0,750000.0,374.0,2700000.0,75000.0,727000.0,793.0,15500000.0,72000.0,69.0,34.0,46.0,410.0,762.0,1200.0,305.0
43317.0,590000.0,269.0,2400000.0,238000.0,563000.0,685.0,2800000.0,50000.0,101.0,62.0,42.0,350.0,598.0,2520.0,270.0
161087.0,748000.0,26.0,1151000.0,505000.0,655000.0,42.0,1400000.0,470000.0,8.0,5.0,36.0,450.0,38.0,580.0,390.0
43337.0,763000.0,12.0,1535000.0,530000.0,748000.0,37.0,2500000.0,366000.0,3.0,3.0,,385.0,17.0,600.0,245.0
48227.0,795000.0,48.0,1300000.0,105000.0,780000.0,90.0,1600000.0,430000.0,4.0,2.0,31.0,440.0,123.0,1826.0,340.0
1587.0,2350000.0,27.0,7075000.0,359000.0,2000000.0,53.0,13000000.0,359000.0,22.0,12.0,40.0,750.0,55.0,2500.0,270.0
8707.0,,4.0,2700000.0,880000.0,,5.0,3000000.0,290000.0,3.0,2.0,,,7.0,1045.0,250.0
25077.0,2210000.0,77.0,5620000.0,575000.0,1625000.0,122.0,5695000.0,169000.0,70.0,40.0,38.0,595.0,123.0,2900.0,225.0
8847.0,1300000.0,30.0,1812000.0,779000.0,1100000.0,54.0,2400000.0,650000.0,25.0,17.0,35.0,548.0,94.0,1050.0,140.0
15907.0,2550000.0,76.0,4100000.0,885000.0,2000000.0,139.0,3950000.0,270000.0,79.0,53.0,22.0,700.0,120.0,2100.0,260.0
