Suburb,Postcode,Lat,Lng,Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
Abbotsford,3067,-37.8023601,144.9983623,627,1297000.0,23.0,2150000.0,630000.0,1273000.0,38.0,2200000.0,360000.0,23.0,13.0,,51.0,625.0,63.0,1300.0,325.0
Aberfeldie,3040,-37.7493029,144.9006313,647,1933000.0,18.0,4730000.0,735000.0,1750000.0,28.0,8200000.0,690000.0,14.0,9.0,,,650.0,23.0,1300.0,320.0
Adams Estate,3984,-38.3114378,145.5579927,677,,,,,,2.0,730000.0,690000.0,,,,,,,,
Aireys Inlet,3231,-38.451657,144.0521131,737,,5.0,2350000.0,124000.0,,9.0,3500000.0,950000.0,,,,,,,,
Airport West,3042,-37.7245197,144.8758725,757,988000.0,28.0,1420000.0,600000.0,880000.0,59.0,1300000.0,470000.0,32.0,17.0,,39.0,490.0,86.0,660.0,320.0
Albanvale,3021,-37.7435941,144.8016402,787,618000.0,24.0,965000.0,545000.0,580000.0,41.0,1192000.0,365000.0,5.0,4.0,,66.0,350.0,16.0,490.0,300.0
Albert Park,3206,-37.8460268,144.9584302,797,2300000.0,49.0,11400000.0,1111000.0,2750000.0,51.0,7250000.0,1100000.0,38.0,29.0,,37.0,795.0,75.0,2000.0,460.0
Albion,3020,-37.7791149,144.823628,837,708000.0,24.0,1255000.0,195000.0,620000.0,42.0,3070000.0,199000.0,15.0,8.0,,61.0,375.0,35.0,510.0,240.0
Alexandra,3714,-37.1872994,145.6245586,857,602000.0,18.0,1220000.0,350000.0,585000.0,25.0,1300000.0,335000.0,1.0,1.0,,24.0,,5.0,450.0,320.0
Allansford,3277,-38.4034955,142.6814062,977,,3.0,438000.0,270000.0,,6.0,500000.0,310000.0,1.0,,,,,1.0,370.0,370.0
Allestree,3305,-38.290126,141.4706543,997,,1.0,840000.0,840000.0,,1.0,800000.0,800000.0,,,,,,,,
Alphington,3078,-37.7824868,145.0190242,1047,1909000.0,28.0,3720000.0,893000.0,1425000.0,42.0,2970000.0,249000.0,22.0,21.0,,,645.0,51.0,1500.0,230.0
Altona,3018,-37.859343,144.8126334,1057,1200000.0,53.0,2810000.0,477000.0,985000.0,106.0,2500000.0,150000.0,36.0,14.0,,64.0,460.0,85.0,960.0,280.0
Altona Meadows,3028,-37.8760399,144.7796581,1127,735000.0,74.0,1290000.0,400000.0,720000.0,112.0,1150000.0,350000.0,18.0,11.0,,24.0,368.0,110.0,575.0,295.0
Altona North,3025,-37.8388686,144.8346241,1137,984000.0,58.0,1555000.0,635000.0,850000.0,120.0,3000000.0,90000.0,43.0,21.0,,46.0,470.0,103.0,850.0,255.0
