postcode,LGA
2747,Greater Bendigo (C)
3000,Melbourne (C)
3000,Melbourne (C)
3002,Melbourne (C)
3002,Melbourne (C)
3002,Melbourne (C)
3002,Melbourne (C)
3002,Melbourne (C)
3002,Melbourne (C)
3002,Melbourne (C)
3002,Melbourne (C)
3003,Melbourne (C)
3003,Melbourne (C)
3003,Melbourne (C)
3003,Melbourne (C)
3003,Melbourne (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Port Phillip (C)
3004,Melbourne (C)
3005,Melbourne (C)
3005,Melbourne (C)
3006,Melbourne (C)
3006,Melbourne (C)
3006,Melbourne (C)
3008,Melbourne (C)
3010,Melbourne (C)
3010,Melbourne (C)
3011,Melbourne (C)
3011,Maribyrnong (C)
3011,Maribyrnong (C)
3011,Maribyrnong (C)
3011,Maribyrnong (C)
3011,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3012,Hobsons Bay (C)
3012,Hobsons Bay (C)
3012,Maribyrnong (C)
3012,Maribyrnong (C)
3013,Maribyrnong (C)
3013,Maribyrnong (C)
3013,Maribyrnong (C)
3013,Maribyrnong (C)
3013,Maribyrnong (C)
3013,Maribyrnong (C)
3015,Hobsons Bay (C)
3015,Hobsons Bay (C)
3015,Hobsons Bay (C)
3015,Maribyrnong (C)
3015,Hobsons Bay (C)
3015,Hobsons Bay (C)
3015,Hobsons Bay (C)
3015,Hobsons Bay (C)
3015,Hobsons Bay (C)
3015,Hobsons Bay (C)
3015,Hobsons Bay (C)
3016,Hobsons Bay (C)
3016,Hobsons Bay (C)
3016,Hobsons Bay (C)
3016,Hobsons Bay (C)
3016,Hobsons Bay (C)
3016,Hobsons Bay (C)
3016,Hobsons Bay (C)
3016,Hobsons Bay (C)
3016,Hobsons Bay (C)
3018,Hobsons Bay (C)
3018,Hobsons Bay (C)
3018,Hobsons Bay (C)
3018,Hobsons Bay (C)
3018,Hobsons Bay (C)
3018,Hobsons Bay (C)
3019,Maribyrnong (C)
3019,Maribyrnong (C)
3019,Maribyrnong (C)
3019,Maribyrnong (C)
3019,Maribyrnong (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3020,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3021,Brimbank (C)
3022,Brimbank (C)
3022,Brimbank (C)
3022,Brimbank (C)
3023,Brimbank (C)
3023,Brimbank (C)
3023,Brimbank (C)
3023,Melton (S)
3023,Brimbank (C)
3023,Brimbank (C)
3023,Melton (S)
3023,Melton (S)
3023,Melton (S)
3024,Melton (S)
3024,Melton (S)
3024,Wyndham (C)
3024,Melton (S)
3024,Wyndham (C)
3024,Wyndham (C)
3024,Melton (S)
3024,Wyndham (C)
3024,Melton (S)
3024,Melton (S)
3024,Wyndham (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3025,Hobsons Bay (C)
3026,Brimbank (C)
3026,Wyndham (C)
3026,Wyndham (C)
3026,Wyndham (C)
3026,Wyndham (C)
3027,Wyndham (C)
3027,Wyndham (C)
3027,Wyndham (C)
3027,Wyndham (C)
3028,Wyndham (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3028,Hobsons Bay (C)
3029,Wyndham (C)
3029,Wyndham (C)
3029,Wyndham (C)
3030,Wyndham (C)
3030,Wyndham (C)
3030,Melton (S)
