postcode,LGA
2747,Greater Bendigo (C)
3000,Melbourne (C)
3002,Melbourne (C)
3003,Melbourne (C)
3004,Port Phillip (C)
3005,Melbourne (C)
3006,Melbourne (C)
3008,Melbourne (C)
3010,Melbourne (C)
3011,Melbourne (C)
3012,Maribyrnong (C)
3013,Maribyrnong (C)
3015,Hobsons Bay (C)
3016,Hobsons Bay (C)
3018,Hobsons Bay (C)
3019,Maribyrnong (C)
3020,Brimbank (C)
3021,Brimbank (C)
3022,Brimbank (C)
3023,Brimbank (C)
3024,Melton (S)
3025,Hobsons Bay (C)
3026,Brimbank (C)
3027,Wyndham (C)
3028,Wyndham (C)
3029,Wyndham (C)
3030,Wyndham (C)
3031,Melbourne (C)
3032,Moonee Valley (C)
3033,Moonee Valley (C)
3034,Moonee Valley (C)
3036,Brimbank (C)
3037,Brimbank (C)
3038,Brimbank (C)
3039,Moonee Valley (C)
3040,Moonee Valley (C)
3041,Moonee Valley (C)
3042,Moonee Valley (C)
3043,Hume (C)
3044,Moreland (C)
3045,Hume (C)
3046,Moreland (C)
3047,Hume (C)
3048,Hume (C)
3049,Hume (C)
3050,Melbourne (C)
3051,Moonee Valley (C)
3052,Melbourne (C)
3053,Melbourne (C)
3054,Yarra (C)
3055,Moreland (C)
3056,Moreland (C)
3057,Moreland (C)
3058,Moreland (C)
3059,Hume (C)
3060,Moreland (C)
3061,Hume (C)
3062,Hume (C)
3063,Hume (C)
3064,Hume (C)
3065,Yarra (C)
3066,Yarra (C)
3067,Yarra (C)
3068,Yarra (C)
3070,Darebin (C)
3071,Darebin (C)
3072,Darebin (C)
3073,Darebin (C)
3074,Whittlesea (C)
3075,Whittlesea (C)
3076,Whittlesea (C)
3078,Yarra (C)
3079,Banyule (C)
3081,Banyule (C)
3082,Whittlesea (C)
3083,Darebin (C)
3084,Banyule (C)
3085,Darebin (C)
3086,Darebin (C)
3087,Banyule (C)
3088,Banyule (C)
3089,Nillumbik (S)
3090,Nillumbik (S)
3091,Nillumbik (S)
3093,Banyule (C)
3094,Banyule (C)
3095,Nillumbik (S)
3096,Nillumbik (S)
3097,Nillumbik (S)
3099,Nillumbik (S)
3101,Boroondara (C)
3102,Boroondara (C)
3103,Boroondara (C)
3104,Boroondara (C)
3105,Manningham (C)
3106,Manningham (C)
3107,Manningham (C)
3108,Manningham (C)
3109,Manningham (C)
3111,Manningham (C)
3113,Manningham (C)
3114,Manningham (C)
3115,Manningham (C)
3116,Yarra Ranges (S)
3121,Yarra (C)
3122,Boroondara (C)
3123,Boroondara (C)
3124,Boroondara (C)
3125,Boroondara (C)
3126,Boroondara (C)
3127,Boroondara (C)
3128,Whitehorse (C)
3129,Whitehorse (C)
3130,Whitehorse (C)
3131,Whitehorse (C)
3132,Whitehorse (C)
3133,Whitehorse (C)
3134,Maroondah (C)
3135,Maroondah (C)
3136,Maroondah (C)
3137,Maroondah (C)
3138,Yarra Ranges (S)
3139,Yarra Ranges (S)
3140,Yarra Ranges (S)
3141,Stonnington (C)
3142,Stonnington (C)
3143,Stonnington (C)
3144,Stonnington (C)
3145,Stonnington (C)
3146,Stonnington (C)
3147,Monash (C)
3148,Stonnington (C)
3149,Monash (C)
3150,Monash (C)
3151,Whitehorse (C)
3152,Knox (C)
3153,Maroondah (C)
3154,Knox (C)
3155,Knox (C)
3156,Casey (C)
3158,Yarra Ranges (S)
3159,Cardinia (S)
3160,Yarra Ranges (S)
3161,Glen Eira (C)
3162,Glen Eira (C)
3163,Glen Eira (C)
3165,Glen Eira (C)
3166,Monash (C)
3167,Glen Eira (C)
3168,Monash (C)
3169,Kingston (C)
3170,Monash (C)
3171,Greater Dandenong (C)
3172,Greater Dandenong (C)
3173,Greater Dandenong (C)
3174,Greater Dandenong (C)
3175,Greater Dandenong (C)
3177,Casey (C)
3178,Knox (C)
3179,Knox (C)
3180,Knox (C)
3181,Stonnington (C)
3182,Port Phillip (C)
3183,Port Phillip (C)
3184,Port Phillip (C)
3185,Bayside (C)
3186,Bayside (C)
3187,Bayside (C)
3188,Bayside (C)
3189,Kingston (C)
3190,Bayside (C)
3191,Bayside (C)
3192,Kingston (C)
3193,Bayside (C)
3194,Kingston (C)
3195,Kingston (C)
3196,Kingston (C)
3197,Kingston (C)
3198,Frankston (C)
3199,Frankston (C)
3200,Frankston (C)
3201,Frankston (C)
3202,Kingston (C)
3204,Glen Eira (C)
3205,Port Phillip (C)
3206,Port Phillip (C)
3207,Melbourne (C)
3211,Moorabool (S)
3212,Greater Geelong (C)
3213,Greater Geelong (C)
3214,Greater Geelong (C)
3215,Greater Geelong (C)
3216,Greater Geelong (C)
3217,Greater Geelong (C)
3218,Greater Geelong (C)
3219,Greater Geelong (C)
3220,Greater Geelong (C)
3221,Greater Geelong (C)
3222,Greater Geelong (C)
3223,Greater Geelong (C)
3224,Greater Geelong (C)
3225,Queenscliffe (B)
3226,Greater Geelong (C)
3227,Greater Geelong (C)
3228,Surf Coast (S)
3230,Surf Coast (S)
3231,Surf Coast (S)
3232,Surf Coast (S)
3233,Colac-Otway (S)
3234,Colac-Otway (S)
3235,Surf Coast (S)
3236,Colac-Otway (S)
3237,Colac-Otway (S)
3238,Colac-Otway (S)
