streetNumber,streetName,streetType,suburb,postcode,state,geoLocation,Lat,,Lng,propertyType,bedrooms,bathrooms,carspaces,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,price,unitNumber,second_ID,canonicalUrl,areaSize,photos,LGA,lga_desc,lga_ID,"Post
Code",Municipality,MunicipalityCode,RegionName,"Region
Code","Property
Count"
11,Park,St,Abbotsford,3067,Vic,{'latitude':,-37.8091018,'longitude':,144.9937248,House,4,1,1,AUSD,Nelson Alexander Commercial,2017652430,4718,Nelson Alexander Fitzroy,https://www.domain.com.au/real-estate-agencies/nelsonalexanderfitzroy-4718,https://www.domain.com.au/11-park-street-abbotsford-vic-3067-2017652430,1746000,,HN-2713-UF,https://www.domain.com.au/property-profile/11-park-street-abbotsford-vic-3067,281,https://bucket-api.domain.com.au/v1/bucket/image/2017652430_1_1_220322_024125-w1600-h1072,Yarra (C),Yarra (C),12,3737,Alpine Shire Council,52201,Northern Victoria,4,2
75,Halsey,Rd,Airport West,3042,Vic,{'latitude':,-37.7190478,'longitude':,144.8850014,House,3,2,1,AUSP,Hpg Estate Agents,2017642616,34194,HPG ESTATE AGENTS,https://www.domain.com.au/real-estate-agencies/hpgestateagents-34194,https://www.domain.com.au/75-halsey-road-airport-west-vic-3042-2017642616,1060000,,BH-8085-YU,https://www.domain.com.au/property-profile/75-halsey-road-airport-west-vic-3042,307,https://bucket-api.domain.com.au/v1/bucket/image/2017642616_1_1_220307_120437-w3024-h2016,Moonee Valley (C),Moonee Valley (C),9,3067,Yarra City Council,51301,Northern Metropolitan,3,4851
18,Highridge,Cr,Airport West,3042,Vic,{'latitude':,-37.7274118,'longitude':,144.8825987,House,3,1,1,AUSD,Hpg Estate Agents,2017642867,34194,HPG ESTATE AGENTS,https://www.domain.com.au/real-estate-agencies/hpgestateagents-34194,https://www.domain.com.au/18-highridge-crescent-airport-west-vic-3042-2017642867,842000,,SO-8745-BS,https://www.domain.com.au/property-profile/18-highridge-crescent-airport-west-vic-3042,506,https://bucket-api.domain.com.au/v1/bucket/image/2017642867_1_1_220307_010423-w900-h675,Moonee Valley (C),Moonee Valley (C),9,3040,Moonee Valley City Council,55601,Western Metropolitan,7,1593
52,McIntosh,St,Airport West,3042,Vic,{'latitude':,-37.7209776,'longitude':,144.8860082,Townhouse,3,1,1,AUSD,Barry Plant Essendon,2017650477,4475,Barry Plant Essendon,https://www.domain.com.au/real-estate-agencies/barryplantessendon-4475,https://www.domain.com.au/1-52-mcintosh-street-airport-west-vic-3042-2017650477,721000,1,QG-5425-AO,https://www.domain.com.au/property-profile/52-mcintosh-street-airport-west-vic-3042,214,0,Moonee Valley (C),Moonee Valley (C),9,3825,Baw Baw Shire Council,53502,Eastern Victoria,2,3
10,Delamare,Dr,Albanvale,3021,Vic,{'latitude':,-37.742586,'longitude':,144.7658579,House,4,2,2,AUSA,YPA St Albans,2017626096,21307,_YPA Estate Agents St Albans,https://www.domain.com.au/real-estate-agencies/ypaestateagentsstalbans-21307,https://www.domain.com.au/10-delamare-drive-albanvale-vic-3021-2017626096,805000,,FH-3721-QC,https://www.domain.com.au/property-profile/10-delamare-drive-albanvale-vic-3021,798,https://bucket-api.domain.com.au/v1/bucket/image/2017626096_1_1_220228_022144-w2000-h1333,Brimbank (C),Brimbank (C),6,3714,Murrindindi Shire Council,53003,Northern Victoria,4,32
28,Delamare,Dr,Albanvale,3021,Vic,{'latitude':,-37.7428656,'longitude':,144.7633685,House,4,2,2,AUSA,YPA St Albans,2017634311,21307,_YPA Estate Agents St Albans,https://www.domain.com.au/real-estate-agencies/ypaestateagentsstalbans-21307,https://www.domain.com.au/28-delamare-drive-albanvale-vic-3021-2017634311,690000,,CQ-8817-NV,https://www.domain.com.au/property-profile/28-delamare-drive-albanvale-vic-3021,568,https://bucket-api.domain.com.au/v1/bucket/image/2017634311_1_1_220302_060738-w2000-h1333,Brimbank (C),Brimbank (C),6,3714,Murrindindi Shire Council,53006,Northern Victoria,4,55
64,Reed,St,Albert Park,3206,Vic,{'latitude':,-37.846064,'longitude':,144.947017,House,2,1,1,AUSD,Jellis Craig Port Phillip Pty Ltd,2017644567,17566,Jellis Craig Port Phillip,https://www.domain.com.au/real-estate-agencies/jelliscraigportphillip-17566,https://www.domain.com.au/64-reed-street-albert-park-vic-3206-2017644567,1990000,,VI-5539-BB,https://www.domain.com.au/property-profile/64-reed-street-albert-park-vic-3206,144,https://bucket-api.domain.com.au/v1/bucket/image/2017644567_1_1_220307_062529-w1600-h1067,Port Phillip (C),Port Phillip (C),3,3984,Bass Coast Shire Council,53403,Eastern Victoria,2,39
15,McLean,St,Albion,3020,Vic,{'latitude':,-37.7807634,'longitude':,144.8166295,Unit,3,1,1,AUSP,Barry Plant Sunshine,2017627018,8753,Barry Plant Sunshine,https://www.domain.com.au/real-estate-agencies/barryplantsunshine-8753,https://www.domain.com.au/3-15-mclean-street-albion-vic-3020-2017627018,625000,3,SA-6034-QT,https://www.domain.com.au/property-profile/15-mclean-street-albion-vic-3020,697,https://bucket-api.domain.com.au/v1/bucket/image/w800-h534-7312841_1_pi_150311_021642,Brimbank (C),Brimbank (C),6,3352,Ballarat City Council,50302,Western Victoria,8,30
49,Bennett,St,Alphington,3078,Vic,{'latitude':,-37.771406,'longitude':,145.0316606,House,4,3,3,AUSP,Jellis Craig Fitzroy,2017669320,3709,Jellis Craig Fitzroy,https://www.domain.com.au/real-estate-agencies/jelliscraigfitzroy-3709,https://www.domain.com.au/49-bennett-street-alphington-vic-3078-2017669320,3080000,,EC-3223-SR,https://www.domain.com.au/property-profile/49-bennett-street-alphington-vic-3078,595,https://bucket-api.domain.com.au/v1/bucket/image/2017669320_1_1_220316_113516-w1600-h1067,Yarra (C),Yarra (C),12,3465,Central Goldfields Shire Council,56303,Western Victoria,8,36
99,Esplanade,,Altona,3018,Vic,{'latitude':,-37.8703391,'longitude':,144.8261621,House,3,2,4,AUSD,Greg Hocking Elly Partners,2017633248,19574,Greg Hocking Elly Partners,https://www.domain.com.au/real-estate-agencies/greghockingellypartners-19574,https://www.domain.com.au/1-99-esplanade-altona-vic-3018-2017633248,2300000,1,PI-2939-TR,https://www.domain.com.au/property-profile/22-na-botto-court-morphettville-sa-5043,0,0,Hobsons Bay (C),Hobsons Bay (C),5,3962,South Gippsland Shire Council,53801,Eastern Victoria,2,36
